127.0.0.1 - - [14/Aug/2023:09:45:14 +0900] "GET / HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [14/Aug/2023:09:45:15 +0900] "GET / HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [14/Aug/2023:09:45:15 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Aug/2023:09:45:28 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2023:09:45:28 +0900] "GET /board/list HTTP/1.1" 200 27336
0:0:0:0:0:0:0:1 - - [14/Aug/2023:09:45:28 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2023:09:45:28 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2023:09:45:28 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2023:09:45:28 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2023:09:45:28 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2023:09:45:28 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2023:09:45:28 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2023:09:45:28 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2023:09:45:28 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2023:09:45:28 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2023:09:45:29 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2023:09:45:29 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2023:09:45:34 +0900] "GET /board/get?bno=1 HTTP/1.1" 200 23086
