127.0.0.1 - - [03/Sep/2023:22:21:19 +0900] "GET / HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:21:59 +0900] "GET /board/get?type=&keyword=&pageNum=1&amount=10&bno=5500405 HTTP/1.1" 200 31464
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:22:00 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 200 7616
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:22:00 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 200 8420
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:22:00 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:22:00 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:22:00 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:22:00 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:22:00 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:22:00 +0900] "GET /resources/js/reply.js HTTP/1.1" 200 2782
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:22:00 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:22:00 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:22:00 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 200 25098
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:22:00 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:22:00 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:22:00 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 200 82638
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:22:03 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:22:03 +0900] "GET /replies/pages/5500405/1.json HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:25:25 +0900] "GET /board/get?type=&keyword=&pageNum=1&amount=10&bno=5500405 HTTP/1.1" 200 32022
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:25:27 +0900] "GET /replies/pages/5500405/1.json HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [03/Sep/2023:22:25:29 +0900] "GET /replies/2.json HTTP/1.1" 200 137
